ID,area,edge,E_A,mean_B1,mean_B2,mean_B3,mean_B4,mean_NDVI,sd_B1,sd_B2,sd_B3,sd_B4,sd_NDVI
13643,1.688509233,0.299571983,0.177418031,406.6010638,604.6542553,401.4840426,4016.601064,0.815858541,22.20770688,35.16534866,26.35899345,211.4804081,0.011395964
13672,4.418953595,1.066842994,0.241424349,370.9146341,562.0609756,453.3150407,2480.672764,0.738742257,28.66025494,38.18446413,51.99510726,203.5134583,0.025473461
13685,3.592630201,0.731119043,0.203505232,339.9475,542.16,357.815,2690.085,0.775399762,17.54120802,28.74168769,20.22606014,133.0846218,0.011003093
13698,2.910025574,0.41950389,0.144158145,340.8333333,551.4845679,353.1975309,2587.530864,0.766682911,19.16693812,31.12607554,23.33239142,160.7348517,0.015898196
13711,1.571770213,0.443439394,0.282127369,375.9714286,609.3828571,377.4228571,3188.64,0.788827843,17.42452644,46.43270675,19.00343414,148.6336296,0.010454778
13715,1.383156871,0.251688856,0.181966964,377.8246753,620.7857143,385.6038961,2983.974026,0.774851655,17.18569595,30.2816764,25.2761012,151.2776069,0.012732877
13998,1.266389856,0.215712008,0.170336178,537.2340426,844.0851064,723.1347518,2851.042553,0.682126869,70.49737972,82.60832623,124.1652827,163.8734212,0.044552818
14000,4.266207251,0.725180948,0.169982588,425.4294737,753.9684211,506.1263158,3490.88,0.78215767,28.24808673,47.89115045,52.9971821,204.7480296,0.018415744
14060,3.403960946,0.653200075,0.191894116,396.1451187,580.4116095,393.1398417,3336.060686,0.787027567,14.72939494,36.73564179,20.81803174,240.5174955,0.012857684
14199,1.886113404,0.341562744,0.181093429,919.4904762,1318.761905,1405.77619,3108.209524,0.54676351,222.0933732,226.8852343,343.5512156,192.9069585,0.088103778
14227,3.14351315,0.341654472,0.108685555,541.1771429,888.6885714,803.2285714,3668.922857,0.73823429,128.0120765,170.6331464,334.1659665,542.6623664,0.07174709
14249,2.550725575,0.419474445,0.164452989,384.1126761,511.0739437,376.2640845,2785.03169,0.756859206,16.14711456,32.98460114,23.55110177,197.0471658,0.014395927
14373,1.428058888,0.215751695,0.151080391,1074.213836,1539.981132,1772.584906,2926.685535,0.463361802,88.39406624,100.4567085,135.5010067,147.1284696,0.028792711
14433,2.676470209,0.683044426,0.255203448,418.2785235,553.7181208,505.7818792,1560.127517,0.55863828,22.95595861,34.44217924,90.28400424,413.5911755,0.096516568
14471,1.320299457,0.431835697,0.327074055,569.4489796,895.1428571,959.7959184,1443.408163,0.429800443,94.22511544,224.5011517,88.87253754,261.8021253,0.069451039
14683,2.613637145,0.527209085,0.20171472,354.6460481,598.2199313,378.5670103,3064.044674,0.792317074,17.21852881,32.33232206,21.88964826,136.2932996,0.010732607
14747,1.347227484,0.293691515,0.217996974,396.4866667,605.9533333,491.4333333,2785.893333,0.749322696,46.86947987,64.80060658,165.0980354,236.8666871,0.036242523
14818,3.044706461,0.719112516,0.236184514,395.5988201,594.9439528,392.6725664,3560.893805,0.799270902,18.08342269,34.66449231,21.09015972,291.9780134,0.012821745
14855,2.083731241,0.335630212,0.161071738,356.8577586,594.737069,436.2715517,2854.142241,0.776974053,16.34189713,36.54712674,22.15782549,215.2123517,0.014460123
